radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,262,1,14118,56735,0,13.198803,52.53835,3294,199,1,1303489980,1662688010,0
GSM,262,1,14118,22109,0,13.20026,52.544424,3831,199,1,1303495789,1662691473,0
GSM,262,2,404,14611,0,9.739265,53.584454,4607,200,1,1303510312,1662702201,0
GSM,262,2,305,2123,0,13.733469,52.842027,6351,200,1,1303545652,1662723690,0
GSM,262,2,305,16362,0,13.801704,52.833689,3074,200,1,1303546015,1662723917,0
GSM,262,2,305,2122,0,13.802917,52.835277,4674,200,1,1303546015,1662723917,0
GSM,262,2,305,42132,0,13.789157,52.838066,3212,199,1,1303546015,1662723686,0
GSM,262,1,14116,52087,0,13.520114,52.546491,4658,110,1,1303546105,1662698019,0
GSM,262,1,14116,10232,0,13.480974,52.533058,2119,102,1,1303546105,1662703622,0
GSM,262,2,305,2182,0,13.766057,52.83773,5648,200,1,1303555941,1662723690,0
GSM,262,2,305,2113,0,13.610982,52.761665,13520,199,1,1303557998,1662716362,0
GSM,262,2,305,2190,0,13.571144,52.780624,8776,106,1,1303558725,1662722898,0
GSM,262,2,323,28422,0,13.18364,52.534305,3709,105,1,1303563566,1662698337,0
GSM,262,2,323,452,0,13.198336,52.533891,5033,102,1,1303563566,1662702582,0
GSM,262,2,404,14851,0,9.680484,53.678244,10975,200,1,1303579303,1662701062,0
GSM,262,2,404,43093,0,9.723977,53.691967,5610,199,1,1303579303,1662737535,0
GSM,262,1,5986,20451,0,9.678349,53.664714,20460,199,1,1303579424,1662737535,0
GSM,262,2,404,14603,0,9.756176,53.690835,8723,113,1,1303579424,1662737535,0
GSM,262,2,404,12043,0,9.705814,53.695689,3919,102,1,1303579424,1662737535,0
GSM,262,1,5986,12129,0,9.699865,53.693753,14405,200,1,1303579424,1662737535,0
GSM,262,2,301,9513,0,12.725186,52.911691,8818,200,1,1303583660,1662733703,0
GSM,262,2,380,4421,0,11.2527,52.176464,9032,159,1,1303590922,1662728811,0
GSM,262,2,380,48202,0,11.217653,52.172055,13549,199,1,1303590922,1662728558,0
GSM,262,2,380,4540,0,11.2205,52.224441,8368,109,1,1303590922,1662728429,0
GSM,262,1,14119,45969,0,13.321059,52.615486,4504,199,1,1303635559,1662695269,0
GSM,262,2,323,782,0,13.317851,52.613743,2638,200,1,1303635559,1662715958,0
GSM,262,1,14119,27820,0,13.349298,52.627984,7268,199,1,1303635559,1662684725,0
GSM,262,2,323,12022,0,13.327701,52.626293,5668,199,1,1303635559,1662684725,0
GSM,262,2,323,33291,0,13.338567,52.61098,3695,200,1,1303635559,1662716149,0
GSM,262,2,323,12021,0,13.333822,52.64743,5850,199,1,1303645745,1662684725,0
GSM,262,1,14119,20720,0,13.317245,52.607566,4209,199,1,1303665363,1662694837,0
GSM,262,1,14119,411,0,13.325495,52.628841,7261,199,1,1303665363,1662709477,0
GSM,262,1,14119,52539,0,13.326378,52.619828,5158,199,1,1303665363,1662695269,0
GSM,262,2,323,552,0,13.310196,52.617091,5437,200,1,1303665363,1662715961,0
GSM,262,1,14119,48068,0,13.318244,52.628035,5028,199,1,1303665363,1662709477,0
GSM,262,2,323,10221,0,13.298197,52.605419,3653,200,1,1303665363,1662715961,0
GSM,262,1,14119,52547,0,13.310521,52.588673,5084,105,1,1303665363,1662694689,0
GSM,262,2,323,36851,0,13.327252,52.604342,3183,199,1,1303665363,1662715423,0
GSM,262,1,14118,64023,0,13.202615,52.521962,3946,102,1,1303724296,1662688195,0
GSM,262,2,323,31901,0,13.26991,52.510608,2780,199,1,1303724659,1662709620,0
GSM,262,1,1855,2802,0,10.053662,53.552356,1108,102,1,1303726597,1662714205,0
GSM,262,1,1855,36671,0,10.051853,53.55387,3573,102,1,1303726597,1662714205,0
GSM,262,1,1855,37706,0,10.081727,53.527307,3958,199,1,1303726597,1662684426,0
GSM,262,1,1855,63040,0,10.038601,53.551387,4877,199,1,1303726597,1662714205,0
GSM,262,2,387,27752,0,11.736523,53.362837,12186,108,1,1303730713,1662737347,0
GSM,262,2,387,52741,0,11.700591,53.368698,12805,106,1,1303730713,1662728146,0
GSM,262,2,387,27751,0,11.778088,53.352565,20147,200,1,1303730713,1662737347,0
GSM,262,1,14115,9745,0,13.222897,52.427318,7279,102,1,1303736039,1662711868,0
GSM,262,2,308,28061,0,13.261512,52.441731,3015,104,1,1303736039,1662697205,0
GSM,262,2,308,28163,0,13.255459,52.44349,5149,102,1,1303736039,1662697354,0
GSM,262,1,14115,54680,0,13.243613,52.401076,3963,108,1,1303736039,1662715216,0
GSM,262,1,14115,36166,0,13.248158,52.407345,4120,104,1,1303736160,1662710286,0
GSM,262,2,308,28193,0,13.247327,52.399863,2654,113,1,1303736160,1662700330,0
GSM,262,2,305,11123,0,13.441906,52.609378,3015,141,1,1303738792,1662721763,0
GSM,262,1,14112,45950,0,13.458312,52.610907,7385,199,1,1303738792,1662682740,0
GSM,262,2,318,11391,0,13.44862,52.603399,3545,109,1,1303738792,1662691392,0
GSM,262,2,305,11122,0,13.457389,52.607847,4816,132,1,1303738792,1662721661,0
GSM,262,1,14112,36889,0,13.458315,52.612744,4061,122,1,1303738792,1662690910,0
GSM,262,1,14112,33204,0,13.442621,52.598103,2796,107,1,1303738792,1662682740,0
GSM,262,1,14112,45949,0,13.485403,52.615818,3562,103,1,1303738792,1662690910,0
GSM,262,2,305,11121,0,13.439712,52.621837,3586,118,1,1303738792,1662721832,0
GSM,262,2,318,11311,0,13.427943,52.597461,3044,124,1,1303738792,1662701304,0
GSM,262,1,14112,13592,0,13.483761,52.631807,7911,110,1,1303738792,1662690910,0
GSM,262,2,318,1341,0,13.414973,52.602419,4145,106,1,1303738792,1662691429,0
GSM,262,2,305,33223,0,13.456815,52.608172,3971,104,1,1303738792,1662688812,0
GSM,262,2,323,781,0,13.31344,52.623406,2320,199,1,1303739429,1662715542,0
GSM,262,2,323,36052,0,13.321155,52.630222,4246,199,1,1303739429,1662695335,0
GSM,262,1,14119,14230,0,13.430571,52.598956,5937,199,1,1303739792,1662691429,0
GSM,262,2,305,11092,0,13.497728,52.623003,3510,113,1,1303739792,1662690910,0
GSM,262,1,14112,59208,0,13.470814,52.572386,5210,111,1,1303739792,1662682740,0
